Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,28,0,28,0,0,0,0,0,0,0,0,0,0,,,,
9,478,155,168,0,0,0,0,0,0,0,0,0,155,,,,
10,304,124,56,0,0,0,0,0,0,0,0,0,124,,,,
11,304,124,56,0,0,0,0,0,0,0,0,0,124,,,,
12,543,124,112,93,0,0,0,0,0,0,0,90,124,,,,
13,548,124,56,124,0,0,0,0,0,0,0,120,124,,,,
14,480,93,112,62,0,0,0,0,0,0,0,120,93,,,,
15,266,0,84,62,0,0,0,0,0,0,0,120,0,,,,
16,152,0,0,62,30,0,0,0,0,0,0,60,0,,,,
17,485,0,0,0,120,0,0,0,0,0,155,210,0,,,,
18,184,0,0,62,60,0,0,0,0,0,62,0,0,,,,
19,308,0,0,124,60,0,0,0,0,0,124,0,0,,,,
20,277,0,0,62,60,93,0,0,0,0,62,0,0,,,,
21,369,0,0,93,0,124,0,0,0,90,62,0,0,,,,
22,304,0,0,0,60,62,0,0,0,120,62,0,0,,,,
23,272,0,0,0,60,0,90,0,0,60,62,0,0,,,,
24,397,0,0,0,60,62,60,0,0,60,155,0,0,,,,
25,368,0,0,0,60,62,60,93,93,0,0,0,0,,,,
26,366,0,0,0,60,62,60,62,62,60,0,0,0,,,,
27,396,0,0,0,90,62,60,62,62,60,0,0,0,,,,
28,244,0,0,0,0,0,60,62,62,60,0,0,0,,,,
29,308,0,0,0,0,124,0,62,62,60,0,0,0,,,,
30,427,0,0,0,0,93,60,62,62,150,0,0,0,,,,
31,122,0,0,0,0,0,60,0,62,0,0,0,0,,,,
32,122,0,0,0,0,0,60,62,0,0,0,0,0,,,,
33,274,0,0,0,0,0,150,62,62,0,0,0,0,,,,
34,124,0,0,0,0,0,0,62,62,0,0,0,0,,,,
35,279,0,0,0,0,0,0,124,155,0,0,0,0,,,,
36,31,0,0,0,0,0,0,31,0,0,0,0,0,,,,
37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,