Dry Bulb Temperature,Hours in Year,Hours in Jan,Hours in Feb,Hours in March,Hours in April,Hours in May,Hours in June,Hours in July,Hours in August,Hours in Sep,Hours in Oct,Hours in Nov,Hours in Dec
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,31,0,0,0,0,0,0,0,0,0,0,0,0
7,279,155,0,0,0,0,0,0,0,0,0,0,155
8,124,62,0,0,0,0,0,0,0,0,0,0,62
9,264,62,140,0,0,0,0,0,0,0,0,0,62
10,180,62,56,0,0,0,0,0,0,0,0,0,62
11,92,0,0,0,0,0,0,0,0,0,0,30,0
12,331,62,56,93,0,0,0,0,0,0,0,120,62
13,302,62,56,62,0,0,0,0,0,0,0,60,62
14,246,62,0,62,0,0,0,0,0,0,0,60,62
15,302,62,56,62,0,0,0,0,0,0,0,60,62
16,452,62,56,0,150,0,0,0,0,0,0,60,62
17,302,93,56,62,60,0,0,0,0,0,0,0,93
18,277,0,0,62,0,0,0,0,0,0,155,60,0
19,331,0,56,0,60,93,0,0,0,0,62,60,0
20,384,0,140,62,60,62,0,0,0,0,0,60,0
21,396,0,0,62,0,62,0,0,0,90,62,120,0
22,305,0,0,0,60,62,0,31,0,60,62,30,0
23,429,0,0,62,0,0,90,124,93,60,0,0,0
24,430,0,0,124,60,62,60,0,62,0,62,0,0
25,397,0,0,31,60,0,60,62,62,60,62,0,0
26,184,0,0,0,60,62,0,62,0,0,0,0,0
27,304,0,0,0,60,0,60,0,62,60,62,0,0
28,336,0,0,0,90,62,0,62,0,60,62,0,0
29,308,0,0,0,0,62,60,0,62,0,124,0,0
30,153,0,0,0,0,0,0,62,0,60,31,0,0
31,184,0,0,0,0,62,60,0,62,0,0,0,0
32,184,0,0,0,0,124,0,0,0,60,0,0,0
33,215,0,0,0,0,31,60,62,62,0,0,0,0
34,60,0,0,0,0,0,0,0,0,60,0,0,0
35,304,0,0,0,0,0,60,62,62,120,0,0,0
36,214,0,0,0,0,0,60,62,62,30,0,0,0
37,60,0,0,0,0,0,60,0,0,0,0,0,0
38,338,0,0,0,0,0,90,124,124,0,0,0,0
39,62,0,0,0,0,0,0,31,31,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0